Site,Sl No.,Plot No.,Dimension,Area
Plots,1,2,"(43'0"" + 51'0"") / 2  x (60'3"" + 59'6"") / 2 ",2814
Plots,2,2 (A),"40'0"" x 60'0""",2400
Plots,3,2 (E),"(43'3""+64'0"") / 2 x (74'3""+59'6"") / 2",3586
Plots,4,3,"40'0"" x 60'0""",2400
Plots,5,3 (A),"40'0"" x 60'0""",2400
Plots,6,3 (D),"(46'3"" + 44'9"") / 2 x (59'9""+48'9"") / 2",2468
Plots,7,3 (E),"(61'6""+60'0"") / 2 x (48'9""+33'6"") / 2",2498
Plots,8,4,"40'0"" x 60'0""",2400
Plots,9,4 (A),"40'0"" x 60'0""",2400
Plots,10,4 (E),"(107'6""+104'6"") / 2 x (33'6""+8'3"") / 2",2213
Plots,11,5 (D),"(51'0""+50'0"") / 2 x (31'0""+19'6"") / 2",1275
Plots,12,7,"(67'3""+51'3"") / 2 x (114'0""+70'0"") / 2 ",5451
Plots,13,7 (A),"51'3"" x 40'0""",2050
Plots,14,7 (B),"(67'9""+52'6"") / 2 x (113'0""+70'3"") / 2 ",5509
Plots,15,8,"51'3"" x 40'0""",2050
Plots,16,8 (A),"(51'3""+51'0"") / 2  x 40'0""",2045
Plots,17,8 (B),"52'6"" x 40'0""",2100
Plots,18,8 (C),"52'6"" x 40'0""",2100
Plots,19,9,"51'0"" x 40'0""",2040
Plots,20,9 (A),"51'0"" x 40'0""",2040
Plots,21,9 (B),"52'6"" x 40'0""",2100
Plots,22,9 (C),"52'6"" x 40'0""",2100
Plots,23,10,"51'0"" x 40'0""",2040
Plots,24,10 (A),"(52'6"" + 52'3"") / 2  x 40'0""",2095
Plots,25,13,"80' 0"" x 80' 0""",6400
Plots,26,14,"80' 0"" x 80' 0""",6400
Plots,27,15,"(52'9""+52'3"") / 2  x 40'0""",2100
Plots,28,15 (a),"53'0"" x 40'0""",2120
Plots,29,16,"52'9"" x 40'0""",2110
Plots,30,16 (A),"52'9"" x 40'0""",2110
Plots,31,17 A,"50'6"" x 40'0""",2020
Plots,32,17 B,"(66'0""+50'6"") / 2 x (87'3""+46'0"") / 2",3881
Plots,33,18,"80'0"" x (42'5"" + 107'7"") / 2",6000
Plots,34,19,"50' 0'' x 80' 0""",4000
Plots,35,20,"44' 6'' x 80' 0""",3560
Plots,36,21,"50' 0'' x 80' 0""",4000
Plots,37,22,"50' 0'' x 80' 0""",4000
Plots,38,23,"50' 0'' x 80' 0""",4000
Plots,39,24,"(80'0"" + 83'3"") / 2  x (73'0"" + 90'6"") / 2",6673
Plots,40,25,"80'0"" x 50'0""",4000
Plots,41,25 (A),"(80'0""+84'6"") / 2 x (24'6""+0'0"") / 2",1008
Plots,42,26,"50' 0"" x 80' 0""",4000
Plots,43,27,"50' 0"" x 80' 0""",4000
Plots,44,28,"50' 0"" x 80' 0""",4000
Plots,45,31,"(51'6""+40'0"") / 2 x (90'0""+57'6"") / 2",3374
Plots,46,31 (a),"(51'6""+40'0"") / 2 x (57'6""+25'0"") / 2",1887
Plots,47,32,"50' 0"" x 80' 0""",4000
Plots,48,33,"50' 0"" x 80' 0""",4000
Plots,49,34,"(80'0"" + 82'9"") / 2 x (25'0"" + 48'3"") 2 ",2980
Plots,50,35,"(52'0"" + 64'3"") 2 x (94'6"" + 149'9"")  /2",7098
Plots,51,36,"(65'0""+53'6"") / 2 x (94'6""+39'3"") / 2",3962
Plots,52,36 (A),"(44'0""+34'3"") / 2 x (39'6""+0') / 2",773
Plots,53,37,"(0'+44'6"") / 2 x (60'3""+74'9"") / 2",1502
Plots,54,37 (A),"(44'6""+73'9"") / 2 x (40'0""+49'6"") / 2",2646
Plots,55,37 (B),"(73'9""+72'3"") / 2 x (40'0""+45'6"") / 2",3121
Plots,56,38,"(72'3"" + 67'6"")/2 x (30'0""+30'3"")/2",2105
Plots,57,38 (A),"(67'6"" + 71'0"")/2 x (30'0""+30'3"")/2",2086
Plots,58,39,"(71'0"" + 90'6"") / 2 x (40'0"" + 44'6"") / 2",3412
Plots,59,39 (A),"(90'6"" + 92'0"") / 2 x  (50'0"" + 62'6"") / 2",5133
Plots,60,40,"(91'6""+74'3"") / 2 x (30'0"" + 34'6"") / 2",2673
Plots,61,41,"(74'3""+57'3"") / 2 x (30'0""+34'6"") / 2",2120
Plots,62,42,"(57'3"" + 42'0"") / 2 x (30'0"" + 34'6"") / 2",1600
Plots,63,43,"29' 6"" x 40' 0""",1180
Plots,64,44,"30' 0"" x 40' 0""",1200
Plots,65,45,"30' 0"" x 40' 0""",1200
Plots,66,46,"30' 0"" x 40' 0""",1200
Plots,67,47,"30' 0"" x 40' 0""",1200
Plots,68,48,"30' 0"" x 40' 0""",1200
Plots,69,49,"30' 0"" x 40' 0""",1200
Plots,70,50,"30' 0"" x 40' 0""",1200
Plots,71,51,"30' 0"" x 40' 0""",1200
Plots,72,52,"30' 0"" x 40' 0""",1200
Plots,73,53,"30' 0"" x 40' 0""",1200
Plots,74,54,"30' 0"" x 40' 0""",1200
Plots,75,55,"30' 0"" x 40' 0""",1200
Plots,76,56,"30' 0"" x 40' 0""",1200
Plots,77,57,"30' 0"" x 40' 0""",1200
Plots,78,58,"30' 0"" x 40' 0""",1200
Plots,79,59,"30' 0"" x 40' 0""",1200
Plots,80,60,"30' 0"" x 40' 0""",1200
Plots,81,61,"30' 0"" x 40' 0""",1200
Plots,82,62,"30' 0"" x 40' 0""",1200
Plots,83,63,"30' 0"" x 40' 0""",1200
Plots,84,64,"30' 0"" x 40' 0""",1200
Plots,85,65,"30' 0"" x 40' 0""",1200
Plots,86,66,"30' 0"" x 40' 0""",1200
Plots,87,67,"30' 0"" x 40' 0""",1200
Plots,88,68,"30' 0"" x 40' 0""",1200
Plots,89,69,"30' 0"" x 40' 0""",1200
Plots,90,70,"30' 0"" x 40' 0""",1200
Plots,91,71,"(40'3"" + 40'0"") / 2 x (25'6""+29'0"") / 2",1093
Plots,92,72,"80' 0"" x 50' 0""",4000
Plots,93,72 (A),"36'3"" x 41'6""",1504
Plots,94,72 (B),"(41'6"" + 41'3"") / 2 x 36'3""",1500
Plots,95,73,"(49'6"" + 72'6"") / 2 x (38'6""+45'3"") / 2",2554
Plots,96,73 (A),"(99'6"" + 77'3"") / 2 x (40'+45'6""') / 2",3778
Plots,97,73 (B),"(77'3"" + 54'6"") / 2 x (40'+46') / 2",2832
Plots,98,73 (C.),"(54'6"" + 31') / 2 x (40'+46') / 2",1838
Plots,99,74,"(31' + 0) / 2 x (64'0""+ 55'6"") / 2",926
Plots,100,75/1,"(35'3"" + 0'0"")/2 x (69'3""+59'6"") / 2",1135
Plots,101,75 (c),"30' 0"" x 50' 0""",1500
Plots,102,76,"30' 0"" x 50' 0""",1500
Plots,103,77,"30' 0"" x 50' 0""",1500
Plots,104,78,"30' 0"" x 50' 0""",1500
Plots,105,79,"30' 0"" x 50' 0""",1500
Plots,106,80,"30' 0"" x 50' 0""",1500
Plots,107,81,"30' 0"" x 50' 0""",1500
Plots,108,82,"30' 0"" x 50' 0""",1500
Plots,109,83,"30' 0"" x 50' 0""",1500
Plots,110,84,"30' 0"" x 50' 0""",1500
Plots,111,85,"30' 0"" x 50' 0""",1500
Plots,112,86,"30' 0"" x 50' 0""",1500
Plots,113,87,"30' 0"" x 50' 0""",1500
Plots,114,88,"30' 0"" x 50' 0""",1500
Plots,115,88 (A),"30' 0"" x 50' 0""",1500
Plots,116,88 (B),"30' 0"" x 50' 0""",1500
Plots,117,88 (C.),"30' 0"" x 50' 0""",1500
Plots,118,89,"50'0"" x 30'0""",1500
Plots,119,89 (A),"(50'0"" + 102'6"")/2 x (2'0""+91'3"") / 2",3555
Plots,120,90,"(50'+99'6"") / 2 X (1'0""+ 88'0"") / 2",3326
Plots,121,90/1,"50'0"" x 30'0""",1500
Plots,122,90 (A),"30' 0"" x 50' 0""",1500
Plots,123,90 (B),"30' 0"" x 50' 0""",1500
Plots,124,90 (C.),"30' 0"" x 50' 0""",1500
Plots,125,91,"30' 0"" x 50' 0""",1500
Plots,126,92,"30' 0"" x 50' 0""",1500
Plots,127,93,"30' 0"" x 50' 0""",1500
Plots,128,94,"30' 0"" x 50' 0""",1500
Plots,129,95,"30' 0"" x 50' 0""",1500
Plots,130,96,"30' 0"" x 50' 0""",1500
Plots,131,97,"30' 0"" x 50' 0""",1500
Plots,132,98,"30' 0"" x 50' 0""",1500
Plots,133,99,"30' 0"" x 50' 0""",1500
Plots,134,100,"30' 0"" x 50' 0""",1500
Plots,135,101,"30' 0"" x 50' 0""",1500
Plots,136,102,"30' 0"" x 50' 0""",1500
Plots,137,103,"30' 0"" x 50' 0""",1500
Plots,138,104,"30' 0"" x 50' 0""",1500
Plots,139,105,"30' 0"" x 50' 0""",1500
Plots,140,106,"30' 0"" x 50' 0""",1500
Plots,141,107,"30' 0"" x 50' 0""",1500
Plots,142,108,"30' 0"" x 50' 0""",1500
Plots,143,109,"30' 0"" x 50' 0""",1500
Plots,144,110,"30' 0"" x 50' 0""",1500
Plots,145,111,"30' 0"" x 50' 0""",1500
Plots,146,112,"30' 0"" x 50' 0""",1500
Plots,147,113,"30' 0"" x 50' 0""",1500
Plots,148,114,"30' 0"" x 50' 0""",1500
Plots,149,115,"30' 0"" x 50' 0""",1500
Plots,150,116,"30' 0"" x 50' 0""",1500
Plots,151,117,"30' 0"" x 50' 0""",1500
Plots,152,118,"30' 0"" x 50' 0""",1500
Plots,153,119,"30' 0"" x 50' 0""",1500
Plots,154,119 (A),"30' 0"" x 50' 0""",1500
Plots,155,119 (B),"30' 0"" x 50' 0""",1500
Plots,156,120,"50'0"" x 30'0""",1500
Plots,157,120 (A),"(50'+48'3"") / 2 X (32'3""+ 10'0"") / 2",1038
Plots,158,121,"(55'6""+50')/2 X (17'0""+40')/2",1503
Plots,159,122,"30' 0"" x 50' 0""",1500
Plots,160,123,"30' 0"" x 50' 0""",1500
Plots,161,124,"30' 0"" x 50' 0""",1500
Plots,162,125,"30' 0"" x 50' 0""",1500
Plots,163,127,"30' 0"" x 50' 0""",1500
Plots,164,128,"30' 0"" x 50' 0""",1500
Plots,165,129,"30' 0"" x 50' 0""",1500
Plots,166,130,"30' 0"" x 50' 0""",1500
Plots,167,131,"30' 0"" x 50' 0""",1500
Plots,168,132,"30' 0"" x 50' 0""",1500
Plots,169,133,"30' 0"" x 50' 0""",1500
Plots,170,134,"30' 0"" x 50' 0""",1500
Plots,171,135,"30' 0"" x 50' 0""",1500
Plots,172,136,"30' 0"" x 50' 0""",1500
Plots,173,137,"30' 0"" x 50' 0""",1500
Plots,174,138,"30' 0"" x 50' 0""",1500
Plots,175,139,"30' 0"" x 50' 0""",1500
Plots,176,140,"30' 0"" x 50' 0""",1500
Plots,177,178,"30' 0"" x 50' 0""",1500
Plots,178,179,"30' 0"" x 50' 0""",1500
Plots,179,180,"30' 0"" x 50' 0""",1500
Plots,180,181,"30' 0"" x 50' 0""",1500
Plots,181,182,"30' 0"" x 50' 0""",1500
Plots,182,183,"30' 0"" x 50' 0""",1500
Plots,183,184,"30' 0"" x 50' 0""",1500
Plots,184,185,"30' 0"" x 50' 0""",1500
Plots,185,186,"30' 0"" x 50' 0""",1500
Plots,186,187,"30' 0"" x 50' 0""",1500
Plots,187,188,"(54'0""+50') / 2 X (13'0""+34'6"") / 2",1235
Plots,188,189,"(54'3""+50') / 2 X (20'9""+43'0"") / 2",1661
Plots,189,190,"30' 0"" x 50' 0""",1500
Plots,190,191,"30' 0"" x 50' 0""",1500
Plots,191,192,"30' 0"" x 50' 0""",1500
Plots,192,193,"30' 0"" x 50' 0""",1500
Plots,193,194,"30' 0"" x 50' 0""",1500
Plots,194,195,"30' 0"" x 50' 0""",1500
Plots,195,196,"30' 0"" x 50' 0""",1500
Plots,196,197,"30' 0"" x 50' 0""",1500
Plots,197,198,"30' 0"" x 50' 0""",1500
Plots,198,199,"30' 0"" x 50' 0""",1500
Plots,199,200,"30' 0"" x 50' 0""",1500
Plots,200,201,"30' 0"" x 50' 0""",1500
Plots,201,202,"30' 0"" x 50' 0""",1500
Plots,202,203,"30' 0"" x 50' 0""",1500
Plots,203,204,"30' 0"" x 50' 0""",1500
Plots,204,205,"30' 0"" x 50' 0""",1500
Plots,205,206,"30' 0"" x 50' 0""",1500
Plots,206,207,"30' 0"" x 50' 0""",1500
Plots,207,208,"30' 0"" x 50' 0""",1500
Plots,208,209,"30' 0"" x 50' 0""",1500
Plots,209,210,"30' 0"" x 50' 0""",1500
Plots,210,211,"30' 0"" x 50' 0""",1500
Plots,211,212,"30' 0"" x 50' 0""",1500
Plots,212,213,"(54'0""+50') / 2 x (15'6""+37'3"") / 2",1371
Plots,213,214,"(54'3""+50') / 2 x (23'+45'6"") / 2",1785
Plots,214,215,"30' 0"" x 50' 0""",1500
Plots,215,216,"30' 0"" x 50' 0""",1500
Plots,216,217,"30' 0"" x 50' 0""",1500
Plots,217,218,"30' 0"" x 50' 0""",1500
Plots,218,219,"30' 0"" x 50' 0""",1500
Plots,219,220,"30' 0"" x 50' 0""",1500
Plots,220,221,"30' 0"" x 50' 0""",1500
Plots,221,222,"30' 0"" x 50' 0""",1500
Plots,222,223,"30' 0"" x 50' 0""",1500
Plots,223,224,"30' 0"" x 50' 0""",1500
Plots,224,225,"30' 0"" x 50' 0""",1500
Plots,225,226,"30' 0"" x 50' 0""",1500
Plots,226,227,"30' 0"" x 50' 0""",1500
Plots,227,228,"30' 0"" x 50' 0""",1500
Plots,228,229,"30' 0"" x 50' 0""",1500
Plots,229,230,"30' 0"" x 50' 0""",1500
Plots,230,231,"30' 0"" x 50' 0""",1500
Plots,231,232,"30' 0"" x 50' 0""",1500
Plots,232,233,"30' 0"" x 50' 0""",1500
Plots,233,234,"30' 0"" x 50' 0""",1500
Plots,234,235,"30' 0"" x 50' 0""",1500
Plots,235,236,"30' 0"" x 50' 0""",1500
Plots,236,237,"30' 0"" x 50' 0""",1500
Plots,237,238,"30' 0"" x 50' 0""",1500
Plots,238,238 (A),"30' 0"" x 50' 0""",1500
Plots,239,239,"(52'6""+50') / 2 x (12'3""+34'9"") / 2",1204
Plots,240,240,"(55'6"" + 50') / 2 x (17'9""+42'3"") / 2",1582
Plots,241,240 (A),"30' 0"" x 50' 0""",1500
Plots,242,241,"30' 0"" x 50' 0""",1500
Plots,243,242,"30' 0"" x 50' 0""",1500
Plots,244,243,"30' 0"" x 50' 0""",1500
Plots,245,244,"30' 0"" x 50' 0""",1500
Plots,246,245,"30' 0"" x 50' 0""",1500
Plots,247,246,"30' 0"" x 50' 0""",1500
Plots,248,247,"30' 0"" x 50' 0""",1500
Plots,249,248,"30' 0"" x 50' 0""",1500
Plots,250,249,"30' 0"" x 50' 0""",1500
Plots,251,250,"30' 0"" x 50' 0""",1500
Plots,252,251,"30' 0"" x 50' 0""",1500
Plots,253,252,"30' 0"" x 50' 0""",1500
Plots,254,253,"30' 0"" x 50' 0""",1500
Plots,255,254,"30' 0"" x 50' 0""",1500
Plots,256,255,"30' 0"" x 50' 0""",1500
Plots,257,256,"30' 0"" x 50' 0""",1500
Plots,258,257,"30' 0"" x 50' 0""",1500
Plots,259,258,"30' 0"" x 50' 0""",1500
Plots,260,259,"30' 0"" x 50' 0""",1500
Plots,261,259 (A),"30' 0"" x 50' 0""",1500
Plots,262,260,"50'0"" x (37'3""+34'6"") / 2",1793
Plots,263,261,"50'0"" x (34'6""+32') / 2",1662
Plots,264,261 (A),"30' 0"" x 50' 0""",1500
Plots,265,262,"30' 0"" x 50' 0""",1500
Plots,266,263,"30' 0"" x 50' 0""",1500
Plots,267,264,"30' 0"" x 50' 0""",1500
Plots,268,265,"30' 0"" x 50' 0""",1500
Plots,269,266,"30' 0"" x 50' 0""",1500
Plots,270,267,"30' 0"" x 50' 0""",1500
Plots,271,268,"30' 0"" x 50' 0""",1500
Plots,272,269,"30' 0"" x 50' 0""",1500
Plots,273,270,"30' 0"" x 50' 0""",1500
Plots,274,271,"30' 0"" x 50' 0""",1500
Plots,275,272,"30' 0"" x 50' 0""",1500
Plots,276,273,"30' 0"" x 50' 0""",1500
Plots,277,274,"30' 0"" x 50' 0""",1500
Plots,278,275,"30' 0"" x 50' 0""",1500
Plots,279,276,"30' 0"" x 50' 0""",1500
Plots,280,277,"30' 0"" x 50' 0""",1500
