Site,Sl No.,Plot No.,Dimension,Area
Plots,546,572,"40' 0"" x 60' 0""",2400
Plots,547,573,"40' 0"" x 60' 0""",2400
Plots,548,574,"40' 0"" x 60' 0""",2400
Plots,549,575,"40' 0"" x 60' 0""",2400
Plots,550,576,"40' 0"" x 60' 0""",2400
Plots,551,580,"40' 0"" x 60' 0""",2400
Plots,552,581,"40' 0"" x 60' 0""",2400
Plots,553,582,"40' 0"" x 60' 0""",2400
Plots,554,583,"40' 0"" x 60' 0""",2400
Plots,555,584,"40' 0"" x 60' 0""",2400
Plots,556,585,"40' 0"" x 60' 0""",2400
Plots,557,586,"40' 0"" x 60' 0""",2400
Plots,558,587,"40' 0"" x 60' 0""",2400
Plots,559,588,"40' 0"" x 60' 0""",2400
Plots,560,589,"40' 0"" x 60' 0""",2400
Plots,561,590,"40' 0"" x 60' 0""",2400
Plots,562,591,"40' 0"" x 60' 0""",2400
Plots,563,592,"40' 0"" x 60' 0""",2400
Plots,564,593,"40' 0"" x 60' 0""",2400
Plots,565,594,"40' 0"" x 60' 0""",2400
Plots,566,595,"40' 0"" x 60' 0""",2400
Plots,567,596,"(59'6""+55'0"") / 2 x 40' + (35'+6'6"")/2",2333
Plots,568,597,"(37'0""+55') / 2 x (22'9""+28'9"") / 2",1184.5
Plots,569,598,"(42'3""+0') / 2 x (49'+64') / 2",1193
Plots,570,599,"(34'+56'3"") / 2 x (44'9"" + 0) / 2",1009
Plots,571,600,"(51'3""+34') / 2 x (28'9""+22'9"") / 2",1098
Plots,572,601,"(60'0""+51'3"") / 2 x 40'+(32'0"" +11'0"") / 2",2308
Plots,573,602,"40' 0"" x 60' 0""",2400
Plots,574,603,"40' 0"" x 60' 0""",2400
Plots,575,604,"40' 0"" x 60' 0""",2400
Plots,576,605,"40' 0"" x 60' 0""",2400
Plots,577,606,"40' 0"" x 60' 0""",2400
Plots,578,607,"40' 0"" x 60' 0""",2400
Plots,579,608,"40' 0"" x 60' 0""",2400
Plots,580,609,"40' 0"" x 60' 0""",2400
Plots,581,610,"40' 0"" x 60' 0""",2400
Plots,582,612,"40' 0"" x 60' 0""",2400
Plots,583,613,"40' 0"" x 60' 0""",2400
Plots,584,614,"40' 0"" x 60' 0""",2400
Plots,585,615,"40' 0"" x 60' 0""",2400
Plots,586,616,"40' 0"" x 60' 0""",2400
Plots,587,617,"40' 0"" x 60' 0""",2400
Plots,588,619,"(40'6""+0') / 2 x (46'6""+65') / 2",1128
Plots,589,620,"(57'6""+60'0') / 2 x (40'0"" + 41'0"") / 2",2379
Plots,590,620 (A),"(0'0""+57'6') / 2 x (68'3"" + 93'0"") / 2",2318
Plots,591,621,"40' 0"" x 60' 0""",2400
Plots,592,622,"40' 0"" x 60' 0""",2400
Plots,593,623,"40' 0"" x 60' 0""",2400
Plots,594,624,"40' 0"" x 60' 0""",2400
Plots,595,625,"40' 0"" x 60' 0""",2400
Plots,596,626,"40' 0"" x 60' 0""",2400
Plots,597,627,"40' 0"" x 60' 0""",2400
Plots,598,628,"40' 0"" x 60' 0""",2400
Plots,599,630,"40' 0"" x 60' 0""",2400
Plots,600,632,"40' 0"" x 60' 0""",2400
Plots,601,633,"40' 0"" x 60' 0""",2400
Plots,602,634,"40' 0"" x 60' 0""",2400
Plots,603,635,"40' 0"" x 60' 0""",2400
Plots,604,636,"40' 0"" x 60' 0""",2400
Plots,605,637,"40' 0"" x 60' 0""",2400
Plots,606,638,"40' 0"" x 60' 0""",2400
Plots,607,639,"(60'0"" + 67""6"") / 2 x (71'0""+40'6"") / 2",3554
Plots,608,640,"(60'0"" + 67""0"") / 2 x (80'9""+51'3"") / 2",4191
Plots,609,641,"40' 0"" x 60' 0""",2400
Plots,610,642,"40' 0"" x 60' 0""",2400
Plots,611,643,"40' 0"" x 60' 0""",2400
Plots,612,644,"40' 0"" x 60' 0""",2400
Plots,613,645,"40' 0"" x 60' 0""",2400
Plots,614,646,"40' 0"" x 60' 0""",2400
Plots,615,647,"40' 0"" x 60' 0""",2400
Plots,616,648,"40' 0"" x 60' 0""",2400
Plots,617,649,"40' 0"" x 60' 0""",2400
Plots,618,650,"40' 0"" x 60' 0""",2400
Plots,619,651,"40' 0"" x 60' 0""",2400
Plots,620,652,"40' 0"" x 60' 0""",2400
Plots,621,653,"40' 0"" x 60' 0""",2400
Plots,622,654,"40' 0"" x 60' 0""",2400
Plots,623,655,"40' 0"" x 60' 0""",2400
Plots,624,656,"40' 0"" x 60' 0""",2400
Plots,625,657,"60' 0"" x 40' 0""",2400
Plots,626,657 (A),"(67'6""+60'0') / 2 x (0'9"" + 32'0"") / 2",1044
Plots,627,658,"(60'0"" + 67""6"") / 2 x (80'9""+50'0"") / 2",4167
Plots,628,659,"40' 0"" x 60' 0""",2400
Plots,629,660,"40' 0"" x 60' 0""",2400
Plots,630,661,"40' 0"" x 60' 0""",2400
Plots,631,662,"40' 0"" x 60' 0""",2400
Plots,632,663,"40' 0"" x 60' 0""",2400
Plots,633,664,"40' 0"" x 60' 0""",2400
Plots,634,665,"40' 0"" x 60' 0""",2400
Plots,635,666,"40' 0"" x 60' 0""",2400
Plots,636,667,"40' 0"" x 60' 0""",2400
Plots,637,690,"40' 0"" x 60' 0""",2400
Plots,638,691,"40' 0"" x 60' 0""",2400
Plots,639,692,"38' 9"" x 60' 0""",2325
Plots,640,693,"40' 0"" x 60' 0""",2400
Plots,641,694,"40' 0"" x 60' 0""",2400
Plots,642,695,"38' 9"" x 60' 0""",2325
Plots,643,696,"40' 0"" x 60' 0""",2400
Plots,644,697,"40' 0"" x 60' 0""",2400
Plots,645,698,"40' 0"" x 60' 0""",2400
Plots,646,699,"40' 0"" x 60' 0""",2400
Plots,647,700,"40' 0"" x 60' 0""",2400
Plots,648,701,"40' 0"" x 60' 0""",2400
Plots,649,702,"40' 0"" x 60' 0""",2400
Plots,650,703,"40' 0"" x 60' 0""",2400
Plots,651,704,"40' 0"" x 60' 0""",2400
Plots,652,705,"40' 0"" x 60' 0""",2400
Plots,653,706,"40' 0"" x 60' 0""",2400
Plots,654,707,"38' 9"" x 60' 0""",2325
Plots,655,708,"40' 0"" x 60' 0""",2400
Plots,656,709,"40' 0"" x 60' 0""",2400
Plots,657,710,"40' 0"" x 60' 0""",2400
Plots,658,711,"38' 9"" x 60' 0""",2325
Plots,659,712,"40' 0"" x 60' 0""",2400
Plots,660,713,"40' 0"" x 60' 0""",2400
Plots,661,714,"40' 0"" x 60' 0""",2400
Plots,662,715,"40' 0"" x 60' 0""",2400
Plots,663,716,"40' 0"" x 60' 0""",2400
Plots,664,717,"40' 0"" x 60' 0""",2400
Plots,665,718,"40' 0"" x 60' 0""",2400
Plots,666,719,"40' 0"" x 60' 0""",2400
Plots,667,721,"40' 0"" x 60' 0""",2400
Plots,668,722,"40' 0"" x 60' 0""",2400
Plots,669,723,"40' 0"" x 60' 0""",2400
Plots,670,724,"(39' 0"" + 39' 3"") / 2 x 60' 0""",2347
Plots,671,725,"40' 0"" x 60' 0""",2400
Plots,672,726,"40' 0"" x 60' 0""",2400
Plots,673,727,"(39' 6""+39'3"") / 2  x 60' 0""",2362
Plots,674,728,"40' 0"" x 60' 0""",2400
Plots,675,729,"40' 0"" x 60' 0""",2400
Plots,676,730,"40' 0"" x 60' 0""",2400
Plots,677,731,"40' 0"" x 60' 0""",2400
Plots,678,732,"40' 0"" x 60' 0""",2400
Plots,679,733,"40' 0"" x 60' 0""",2400
Plots,680,734,"40' 0"" x 60' 0""",2400
Plots,681,735,"40' 0"" x 60' 0""",2400
Plots,682,736,"40' 0"" x 60' 0""",2400
Plots,683,737,"40' 0"" x 60' 0""",2400
Plots,684,738,"40' 0"" x 60' 0""",2400
Plots,685,739,"40' 0"" x 60' 0""",2400
Plots,686,740,"(39' 9"" + 40'0"") / 2 x 60' 0""",2392
Plots,687,741,"40' 0"" x 60' 0""",2400
Plots,688,742,"40' 0"" x 60' 0""",2400
Plots,689,743,"40' 0"" x 60' 0""",2400
Plots,690,744,"40' 0"" x 60' 0""",2400
Plots,691,745,"40' 0"" x 60' 0""",2400
Plots,692,746,"40' 0"" x 60' 0""",2400
Plots,693,747,"40' 0"" x 60' 0""",2400
Plots,694,748,"40' 0"" x 60' 0""",2400
Plots,695,749,"40' 0"" x 60' 0""",2400
Plots,696,753,"40' 0"" x 60' 0""",2400
Plots,697,754,"40' 0"" x 60' 0""",2400
Plots,698,755,"40' 0"" x 60' 0""",2400
Plots,699,756,"40' 0"" x 60' 0""",2400
Plots,700,757,"40' 0"" x 60' 0""",2400
Plots,701,758,"40' 0"" x 60' 0""",2400
Plots,702,759,"40' 0"" x 60' 0""",2400
Plots,703,760,"40' 0"" x 60' 0""",2400
Plots,704,762,"(19'3""+67'3"") + 80' / 2 x (39'6""+10'3"") / 2",2071
Plots,705,763,"40' 0"" x 60' 0""",2400
Plots,706,764,"40' 0"" x 60' 0""",2400
Plots,707,765,"(54'6""+49'3"") / 2 x (70'+46') / 2",3008
Plots,708,766,"(95'3""+106') / 2 x (46'+0') / 2",2314
Plots,709,767,"(10'3""+19'9"") / 2 x (50'6""+50') / 2",754
Plots,710,768,"16'3"" x 50'",812
Plots,711,769,"30' 0"" x 50' 0""",1500
Plots,712,770,"30' 0"" x 50' 0""",1500
Plots,713,771,"30' 0"" x 50' 0""",1500
Plots,714,772,"30' 0"" x 50' 0""",1500
Plots,715,773,"30' 0"" x 50' 0""",1500
Plots,716,774,"30' 0"" x 50' 0""",1500
Plots,717,775,"30' 0"" x 50' 0""",1500
Plots,718,776,"30' 0"" x 50' 0""",1500
Plots,719,777,"30' 0"" x 50' 0""",1500
Plots,720,778,"30' 0"" x 50' 0""",1500
Plots,721,779,"30' 0"" x 50' 0""",1500
Plots,722,780,"30' 0"" x 50' 0""",1500
Plots,723,781,"30' 0"" x 50' 0""",1500
Plots,724,782,"30' 0"" x 50' 0""",1500
Plots,725,783,"30' 0"" x 50' 0""",1500
Plots,726,784,"30' 0"" x 50' 0""",1500
Plots,727,785,"(14'9""+30'0"") / 2 x (58'9""+49'6) / 2",1211
Plots,728,785 (A),"(14'9""+26'3"") / 2 x (59'6""+58'9"") / 2",1212
Plots,729,786,"40' 0"" x (60' 0""+59'6"") / 2",2390
Plots,730,787,"40' 0"" x 60' 0""",2400
Plots,731,788,"40' 0"" x 60' 0""",2400
Plots,732,789,"40' 0"" x 60' 0""",2400
Plots,733,790,"40' 0"" x 60' 0""",2400
Plots,734,791,"40' 0"" x 60' 0""",2400
Plots,735,792,"30' 0"" x 60' 0""",1800
Plots,736,793,"40' 0"" x 60' 0""",2400
Plots,737,794,"40' 0"" x 60' 0""",2400
Plots,738,795,"40' 0"" x 60' 0""",2400
Plots,739,796,"39' 0"" x 60' 0""",2340
Plots,740,797,"40' 0"" x 60' 0""",2400
Plots,741,798,"40' 0"" x 60' 0""",2400
Plots,742,799,"(111'9""+90'6"") / 2 x (60'+62'9"") / 2",6206
Plots,743,800,"(90'6""+69'3"") / 2 x (60'+63'9"") / 2 ",4942
Plots,744,801,"(68'6""+47'6"") / 2 x (60'+63'9"") / 2",3589
Plots,745,802,"(37'0""+48'0"") / 2 x (30'0""+32'0"") / 2",1317
Plots,746,802 (A),"(37'0""+0'0"") / 2 x (99'6""+106'3"") / 2",1903
Plots,747,818,"40' 0"" x 60' 0""",2400
Plots,748,819,"40' 0"" x 60' 0""",2400
Plots,749,820,"40' 0"" x 60' 0""",2400
Plots,750,821,"40' 0"" x 60' 0""",2400
Plots,751,823,"40' 0"" x 60' 0""",2400
Plots,752,824,"40' 0"" x 60' 0""",2400
Plots,753,825,"40' 0"" x 60' 0""",2400
Plots,754,826,"40' 0"" x 60' 0""",2400
Plots,755,827,"40' 0"" x 60' 0""",2400
Plots,756,828,"40' 0"" x 60' 0""",2400
Plots,757,829,"40' 0"" x 60' 0""",2400
Plots,758,830,"40' 0"" x 60' 0""",2400
